period,minute,seconds,matchId,type,swimoff_homeTeamSwimmer_playerId,swimoff_homeTeamSwimmer_teamId,swimoff_awayTeamSwimmer_teamId,swimoff_awayTeamSwimmer_playerId,swimoff_winnerSwimmer_teamId,swimoff_winnerSwimmer_playerId,shot_teamId,shot_type,shot_takenBy_playerId,shot_takenBy_teamId,shot_assistedBy_playerId,shot_isGoal,shot_isFastBreak,shot_isDirectFromFoul,shot_locationX,shot_locationY,shot_targetX,shot_targetY,shot_savedBy_playerId,shot_savedBy_teamId,shot_blockedBy_playerId,shot_blockedBy_teamId,shot_blockedBy_positionId,turnover_teamId,turnover_type,turnover_lostPossesionPlayer_playerId,turnover_lostPossesionPlayer_teamId,turnover_wonPossesionPlayer_playerId,turnover_wonPossesionPlayer_teamId,exclusion_teamId,exclusion_type,exclusion_excludedPlayer_playerId,exclusion_excludedPlayer_teamId,exclusion_fouledPlayer_playerId,exclusion_fouledPlayer_teamId,exclusion_isPenaltyExclusion,exclusion_isDoubleExclusion,exclusion_locationX,exclusion_locationY,timeout_teamId,team_id,swimoff_home,swimoff_away,swimoff_winner,shot_taken_by,shot_assist_by,shot_saved_by,turnover_lost_by,turnover_won_by,exclusion_foul_by,exclusion_drawn_by,shot_blocked_by,home_team_id,away_team_id,game_time_seconds,team_id_last,game_time_seconds_last
Fourth_Period,5,2,12224,Shot,,,,,,,77.0,Regular_Attack,71.0,77.0,77.0,True,False,False,0.627,0.132,0.465,0.42,,,,,,,,,,,,,,,,,,,,,,,77.0, , , ,Luka Loncar,Loren Fatovic, , , , , , ,77,84,302,77.0,311.0
Second_Period,2,24,12225,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2660.0,2660.0, , , , , , , , , , , ,2528,2660,1104,2660.0,1104.0
Second_Period,2,13,12225,Shot,,,,,,,2660.0,Penalty,25419.0,2660.0,,True,False,False,0.508,0.202,0.25,0.441,2375.0,2528.0,,,,,,,,,,,,,,,,,,,,,2660.0, , , ,Ali Oussadou, ,Joao Pedro Serra, , , , , ,2528,2660,1093,2660.0,1104.0
Second_Period,2,13,12225,Exclusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2528.0,Penalty,12208.0,2528.0,12194.0,2660.0,False,False,0.629,0.102,,2660.0, , , , , , , , ,Marcos Paulo Pedroso,Bogdan Djerkovic, ,2528,2660,1093,2660.0,1093.0
Third_Period,5,7,12225,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2528.0,2528.0, , , , , , , , , , , ,2528,2660,787,2660.0,787.0
Third_Period,4,47,12225,Exclusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2660.0,Exclusion,25419.0,2660.0,12208.0,2528.0,False,False,0.605,0.082,,2528.0, , , , , , , , ,Ali Oussadou,Marcos Paulo Pedroso, ,2528,2660,767,2528.0,787.0
Third_Period,4,33,12225,Shot,,,,,,,2528.0,Power_Play,25408.0,2528.0,,False,False,False,0.652,0.204,0.73,0.298,,,,,,,,,,,,,,,,,,,,,,,2528.0, , , ,Joao Pedro Leme, , , , , , , ,2528,2660,753,2528.0,767.0
Fourth_Period,2,41,12225,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2528.0,2528.0, , , , , , , , , , , ,2528,2660,161,2660.0,163.0
Fourth_Period,2,41,12225,Exclusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2660.0,Exclusion,16880.0,2660.0,,,False,False,0.227,0.096,,2528.0, , , , , , , , ,Leo Hachem, , ,2528,2660,161,2528.0,161.0
Fourth_Period,2,30,12225,Shot,,,,,,,2528.0,Regular_Attack,25484.0,2528.0,19458.0,True,False,False,0.216,0.413,0.238,0.949,,,,,,,,,,,,,,,,,,,,,,,2528.0, , , ,Lucas Andrade,Pedro Real, , , , , , ,2528,2660,150,2528.0,161.0
First_Period,4,27,12226,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0,87.0, , , , , , , , , , , ,1190,87,1707,87.0,1720.0
Third_Period,3,55,12226,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1190.0,1190.0, , , , , , , , , , , ,1190,87,715,87.0,715.0
Third_Period,3,55,12226,Shot,,,,,,,1190.0,Power_Play,4765.0,1190.0,4763.0,True,False,False,0.385,0.1,0.207,0.912,,,,,,,,,,,,,,,,,,,,,,,1190.0, , , ,Kenta Araki,Yusuke Inaba, , , , , , ,1190,87,715,1190.0,715.0
Third_Period,1,57,12226,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0,87.0, , , , , , , , , , , ,1190,87,597,1190.0,604.0
Third_Period,1,37,12226,Shot,,,,,,,87.0,Regular_Attack,1403.0,87.0,,False,False,False,0.367,0.127,0.49,0.588,15270.0,1190.0,,,,,,,,,,,,,,,,,,,,,87.0, , , ,Levente Vancsik, ,Towa Nishimura, , , , , ,1190,87,577,87.0,597.0
Fourth_Period,0,11,12226,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1190.0,1190.0, , , , , , , , , , , ,1190,87,11,87.0,34.0
Fourth_Period,0,11,12226,Shot,,,,,,,1190.0,Regular_Attack,4755.0,1190.0,,False,False,False,0.214,0.156,0.307,0.524,1392.0,87.0,,,,,,,,,,,,,,,,,,,,,1190.0, , , ,Seiya Adachi, ,Marius-Florin Tic, , , , , ,1190,87,11,1190.0,11.0
Overtime,0,0,12226,Shot,,,,,,,1190.0,Penalty_Shootout,4763.0,1190.0,,True,False,False,0.487,0.204,0.79,0.947,,,,,,,,,,,,,,,,,,,,,,,1190.0, , , ,Yusuke Inaba, , , , , , , ,1190,87,0,1190.0,11.0
Second_Period,3,39,12227,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.0,105.0, , , , , , , , , , , ,80,105,1179,105.0,1180.0
Second_Period,3,24,12227,Shot,,,,,,,105.0,Power_Play,1368.0,105.0,,False,False,False,0.821,0.056,0.667,0.489,1365.0,80.0,,,,,,,,,,,,,,,,,,,,,105.0, , , ,Djuro Radovic, ,Gianmarco Nicosia, , , , , ,80,105,1164,105.0,1179.0
Fourth_Period,3,18,12227,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,80.0, , , , , , , , , , , ,80,105,198,80.0,198.0
Fourth_Period,2,58,12227,Shot,,,,,,,80.0,Power_Play,141.0,80.0,,False,False,False,0.75,0.195,,,,,111.0,105.0,401.0,,,,,,,,,,,,,,,,,,80.0, , , ,Tommaso Gianazza, , , , , , ,Vasilije Radovic,80,105,178,80.0,198.0
